user_id,item_id,rating
3,17,1
3,56,4
3,70,1
3,80,6
3,84,3
3,99,2
3,103,1
3,118,9
3,137,2
3,150,1
3,152,1
3,153,1
3,180,1
3,239,5
3,248,1
3,256,1
3,282,1
3,325,1
3,338,1
3,382,3
4,5,1
4,32,5
4,89,2
4,171,1
4,225,2
4,256,6
4,266,4
4,293,3
4,306,5
4,346,2
5,28,1
5,98,1
6,103,1
6,137,1
6,226,1
6,330,2
6,350,1
8,7,1
8,30,1
8,33,3
8,56,3
8,72,1
8,90,1
8,94,1
8,95,1
8,99,1
8,118,2
8,120,1
8,122,3
8,134,1
8,140,1
8,143,1
8,153,1
8,165,1
8,173,1
8,177,1
8,178,1
8,183,2
8,185,4
8,195,1
8,196,2
8,207,3
8,235,1
8,247,1
8,255,4
8,256,3
8,258,3
8,266,2
8,267,3
8,269,4
8,283,1
8,284,4
8,303,1
8,306,1
8,313,1
8,314,4
8,326,1
8,327,3
8,330,2
8,335,3
8,336,3
8,373,2
10,81,1
10,87,1
10,199,1
10,201,1
10,267,1
10,302,1
10,335,1
10,350,1
11,7,1
11,28,2
11,80,3
11,183,1
12,5,2
12,22,2
12,27,1
12,54,1
12,84,2
12,131,1
12,138,1
12,226,1
12,234,1
12,267,1
12,303,1
12,326,2
12,335,1
12,350,1
12,352,1
12,354,3
14,113,3
14,114,1
14,141,1
14,190,2
16,56,1
16,112,1
16,125,2
17,7,1
17,9,9
17,90,1
17,113,1
17,122,1
17,125,1
17,137,1
17,169,1
17,180,2
17,311,1
18,127,1
19,5,1
19,7,3
19,9,4
19,31,1
19,54,1
19,56,2
19,84,1
19,95,1
19,99,2
19,107,3
19,116,1
19,118,32
19,119,2
19,125,2
19,126,1
19,137,17
19,138,2
19,157,1
19,165,1
19,169,1
19,177,3
19,178,3
19,180,4
19,207,2
19,224,1
19,229,1
19,234,2
19,239,19
19,240,1
19,246,1
19,248,1
19,269,1
19,284,1
19,302,1
19,314,5
19,330,2
19,333,2
19,346,3
19,368,1
20,226,1
21,14,1
21,122,1
21,137,2
21,141,1
21,250,2
22,9,1
22,28,1
22,79,1
22,90,1
22,98,1
22,104,1
22,107,1
22,110,1
22,118,8
22,122,1
22,126,1
22,137,2
22,138,1
22,157,1
22,171,1
22,173,1
22,214,1
22,224,1
22,236,6
22,239,1
22,308,1
22,333,1
22,368,1
23,5,1
23,95,2
23,330,2
24,90,1
24,118,1
24,137,4
24,256,1
24,284,1
24,323,1
24,346,1
28,78,1
28,206,3
28,217,1
28,330,3
29,7,1
29,17,1
29,137,4
29,246,1
29,255,3
29,318,1
30,5,1
30,6,1
30,7,7
30,17,3
30,18,1
30,19,3
30,25,1
30,26,1
30,27,15
30,30,2
30,32,1
30,77,1
30,80,8
30,81,1
30,83,2
30,87,3
30,95,7
30,97,4
30,98,7
30,102,2
30,104,12
30,109,1
30,114,1
30,119,2
30,122,42
30,133,1
30,134,6
30,137,6
30,139,1
30,141,1
30,142,17
30,144,1
30,145,1
30,152,1
30,157,1
30,161,1
30,162,2
30,165,1
30,169,4
30,171,1
30,174,3
30,180,1
30,184,1
30,194,1
30,201,2
30,207,4
30,212,1
30,214,1
30,217,9
30,220,1
30,221,1
30,238,2
30,246,6
30,255,7
30,256,1
30,267,3
30,268,1
30,269,40
30,275,2
30,282,1
30,291,1
30,292,2
30,298,3
30,303,1
